part,topic,question,cue_card,source,band9_answer
1,Food,Is there a traditional dish from your country you recommend?,,question_bank,
1,Food,Have your eating habits changed over time?,,question_bank,
1,Cooking,Do you like cooking?,,question_bank,
1,Cooking,How often do you cook?,,question_bank,
1,Cooking,What was the last thing you cooked?,,question_bank,
1,Cooking,Do you think children should learn to cook? Why/why not?,,question_bank,
1,Shopping,Do you enjoy shopping?,,question_bank,
1,Shopping,What kinds of things do you usually buy?,,question_bank,
1,Shopping,Do you prefer online shopping or shopping in stores? Why?,,question_bank,"Mostly online, because it saves time and lets me compare options quickly. That said, for clothes I still prefer a store, since fit and fabric are hard to judge on a screen."
1,Shopping,Has your shopping style changed in recent years?,,question_bank,
1,Clothes,What kind of clothes do you usually wear?,,question_bank,
1,Clothes,How important is fashion to you?,,question_bank,
1,Clothes,Do you wear different clothes for different occasions?,,question_bank,
1,Clothes,Do people in your country care about brands?,,question_bank,
1,Weather,What is the weather like where you live?,,question_bank,
1,Weather,What kind of weather do you enjoy most? Why?,,question_bank,
1,Weather,Does weather affect your mood or plans?,,question_bank,
1,Weather,How do people in your country usually deal with extreme weather?,,question_bank,
1,Seasons,Do you have a favourite season?,,question_bank,
1,Seasons,What do you usually do in that season?,,question_bank,
1,Seasons,Is there any season you dislike? Why?,,question_bank,
1,Seasons,Do seasons affect the way people live in your country?,,question_bank,
1,Transport,How do you usually travel around your city?,,question_bank,
1,Transport,What is public transport like where you live?,,question_bank,
1,Transport,Do you prefer driving or using public transport? Why?,,question_bank,
1,Transport,How could transport be improved in your area?,,question_bank,
1,Travel,Do you like travelling?,,question_bank,
1,Travel,What kind of places do you enjoy visiting?,,question_bank,
1,Travel,Do you prefer travelling alone or with others? Why?,,question_bank,
1,Travel,What place would you like to visit in the future?,,question_bank,
1,Holidays,Do you prefer short breaks or long holidays?,,question_bank,
1,Holidays,What do you usually do on holiday?,,question_bank,
1,Holidays,Do you like planning holidays in detail? Why/why not?,,question_bank,
1,Holidays,What makes a holiday memorable for you?,,question_bank,
1,Technology,Do you use technology a lot in your daily life?,,question_bank,
1,Technology,What piece of technology do you use most often?,,question_bank,
1,Technology,Is there any new technology you want to try?,,question_bank,
1,Technology,Do you think people rely too much on technology?,,question_bank,
1,Mobile phones,How often do you use your phone each day?,,question_bank,
1,Mobile phones,What do you mainly use your phone for?,,question_bank,
1,Mobile phones,Do you prefer texting or calling? Why?,,question_bank,
1,Mobile phones,Do you think children should have smartphones?,,question_bank,
1,Social media,Do you use social media?,,question_bank,
1,Social media,What do you like and dislike about social media?,,question_bank,
1,Social media,How has social media changed communication?,,question_bank,
1,Social media,Do you think social media affects mental health?,,question_bank,
1,Internet,How important is the internet in your life?,,question_bank,
1,Internet,What do you do online most often?,,question_bank,
1,Internet,Do you think people have enough privacy online?,,question_bank,
1,Internet,What would be difficult without the internet?,,question_bank,
1,Books / Reading,Do you enjoy reading?,,question_bank,
1,Books / Reading,What kinds of books do you like?,,question_bank,
1,Books / Reading,Do you prefer paper books or e-books? Why?,,question_bank,
1,Books / Reading,Did you read a lot as a child?,,question_bank,
1,Music,What kind of music do you like?,,question_bank,
1,Music,When do you usually listen to music?,,question_bank,
1,Music,Do you prefer live music or recorded music? Why?,,question_bank,
1,Music,Has your taste in music changed?,,question_bank,
1,Films,What kind of films do you like?,,question_bank,"I tend to enjoy films with strong storytelling—either character-driven dramas or well-made thrillers. If the dialogue feels natural and the plot is tight, I’m usually interested."
1,Films,Do you prefer watching films at home or at the cinema? Why?,,question_bank,
1,Films,How often do you watch films?,,question_bank,
1,Films,Is there a film you watched recently that you enjoyed?,,question_bank,
1,TV programmes,Do you watch TV programmes often?,,question_bank,
1,TV programmes,What kinds of programmes do you enjoy?,,question_bank,
1,TV programmes,Do you prefer watching alone or with others?,,question_bank,
1,TV programmes,Has streaming changed the way you watch TV?,,question_bank,
1,Sports / Exercise,Do you do any exercise?,,question_bank,
1,Sports / Exercise,What kinds of sports are popular in your country?,,question_bank,
1,Sports / Exercise,Do you prefer exercising indoors or outdoors? Why?,,question_bank,
1,Sports / Exercise,What motivates people to stay fit?,,question_bank,
1,Health,What do you do to stay healthy?,,question_bank,
1,Health,Do you think people today are healthier than in the past?,,question_bank,
1,Health,How important is sleep for you?,,question_bank,
1,Health,What habits would you like to improve?,,question_bank,
1,Art,Do you like art?,,question_bank,
1,Art,Have you ever visited an art gallery?,,question_bank,
1,Art,What kind of art is popular in your country?,,question_bank,
1,Art,Do you think art is important in education?,,question_bank,
1,Photography,Do you like taking photos?,,question_bank,
1,Photography,What do you usually take photos of?,,question_bank,
1,Photography,Do you prefer using a phone or a camera? Why?,,question_bank,
1,Photography,How do photos help people remember things?,,question_bank,
1,Nature,Do you like spending time in nature?,,question_bank,
1,Nature,What natural places are near where you live?,,question_bank,
1,Nature,How often do you go to parks or outdoor places?,,question_bank,
1,Nature,What do you think people can do to protect nature?,,question_bank,
1,Animals,Do you like animals?,,question_bank,
1,Animals,Did you have a pet when you were a child?,,question_bank,
1,Animals,What animals are common in your country?,,question_bank,
1,Animals,Do you think people should keep pets? Why/why not?,,question_bank,
1,Plants / Flowers,Do you have a favourite plant or flower?,,question_bank,"Yes—probably the **jasmine plant**, because the scent is subtle but it instantly changes the mood of a room. Also, it’s quite low-maintenance, so even if I’m busy, it still survives."
1,Plants / Flowers,Do you keep any plants at home?,,question_bank,
1,Plants / Flowers,Are flowers commonly given as gifts in your country?,,question_bank,
1,Plants / Flowers,Do you think greenery is important in cities?,,question_bank,
1,Water,Do you drink a lot of water every day?,,question_bank,
1,Water,Do you prefer bottled water or filtered water? Why?,,question_bank,
1,Water,Is water quality a concern where you live?,,question_bank,
1,Water,What can people do to save water?,,question_bank,
1,Time management,Are you good at managing your time?,,question_bank,
1,Time management,What do you do when you are busy?,,question_bank,
1,Time management,Do you prefer making plans or being spontaneous?,,question_bank,
1,Time management,What wastes people's time most these days?,,question_bank,
1,Learning English,When did you start learning English?,,question_bank,
1,Learning English,What do you find most difficult about English?,,question_bank,
1,Learning English,How do you practise English outside class/work?,,question_bank,
1,Learning English,Why do you want to improve your English?,,question_bank,
1,Neighbourhood,What is your neighbourhood like?,,question_bank,
1,Neighbourhood,Do you know your neighbours well?,,question_bank,
1,Neighbourhood,What facilities are near your home?,,question_bank,
1,Neighbourhood,Is it a good area for families? Why/why not?,,question_bank,
1,Celebrations,Do you like celebrating birthdays?,,question_bank,
1,Celebrations,What is an important festival in your country?,,question_bank,
1,Celebrations,How do people usually celebrate special occasions?,,question_bank,
1,Celebrations,Do you prefer small or big celebrations? Why?,,question_bank,
1,Gifts,Do you like giving gifts?,,question_bank,
1,Gifts,What kinds of gifts are common in your country?,,question_bank,
1,Gifts,Do you prefer practical gifts or sentimental gifts? Why?,,question_bank,
1,Gifts,Have online shopping and delivery changed gift-giving?,,question_bank,
1,Public places,What public places do you often go to?,,question_bank,
1,Public places,Do you like visiting cafés or restaurants?,,question_bank,
1,Public places,Do you prefer quiet places or lively places? Why?,,question_bank,
1,Public places,What public place would you improve in your city?,,question_bank,
1,Languages,How many languages can you speak?,,question_bank,
1,Languages,Do you think it is important to learn foreign languages?,,question_bank,
1,Languages,What is the best way to learn a language?,,question_bank,
1,Languages,Do you think translation apps will replace language learning?,,question_bank,
2,Describe a person who has influenced you,Describe a person who has influenced you,"You should say:
- who the person is
- how you know them
- what influence they had on you
- and explain why this person influenced you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a person you admire for their skills,Describe a person you admire for their skills,"You should say:
- who they are
- what they are good at
- how you learned about them
- and explain why you admire them.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe someone who helped you recently,Describe someone who helped you recently,"You should say:
- who the person is
- what they helped you with
- when it happened
- and explain why their help mattered.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a teacher you remember,Describe a teacher you remember,"You should say:
- who the teacher was
- what you learned from them
- what they were like
- and explain why you still remember them.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a place you like to relax,Describe a place you like to relax,"You should say:
- where it is
- how often you go there
- what you do there
- and explain why it helps you relax.",question_bank,"- Place: small park

- When: evening

- Do: walk

- Why: reset




A place I like to relax is a small park near my home. I usually go there in the evening after work, because it’s quieter and the atmosphere feels calmer. I’ll walk for twenty to thirty minutes, sometimes with music and sometimes in silence.

It helps because it creates a clear break between work mode and personal time. Even a short walk improves my mood and helps me focus when I return home."
2,Describe a city you would like to visit,Describe a city you would like to visit,"You should say:
- which city it is
- what you know about it
- who you would go with
- and explain why you want to visit it.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a place from your childhood,Describe a place from your childhood,"You should say:
- where it was
- what you used to do there
- who you were with
- and explain why you remember it clearly.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a natural place you have been to,Describe a natural place you have been to,"You should say:
- where it is
- when you went there
- what you saw there
- and explain why you enjoyed it.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe something you own that is important to you,Describe something you own that is important to you,"You should say:
- what it is
- where you got it
- how long you have had it
- and explain why it is important to you.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a piece of technology you find useful,Describe a piece of technology you find useful,"You should say:
- what it is
- how you use it
- when you started using it
- and explain why it is useful.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a gift you received that you liked,Describe a gift you received that you liked,"You should say:
- what the gift was
- who gave it to you
- when you received it
- and explain why you liked it.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe something you bought that was worth the money,Describe something you bought that was worth the money,"You should say:
- what it was
- where you bought it
- how you use it
- and explain why it was worth it.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a special event or festival you enjoyed,Describe a special event or festival you enjoyed,"You should say:
- what it was
- where it took place
- what happened
- and explain why you enjoyed it.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a time you tried something new,Describe a time you tried something new,"You should say:
- what you tried
- where you did it
- who you were with
- and explain why you decided to try it.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
2,Describe a trip you enjoyed,Describe a trip you enjoyed,"You should say:
- where you went
- who you went with
- what you did there
- and explain why it was memorable.",question_bank,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable."
