part,topic,question,cue_card,source,band9_answer,answer_variant
2,Cue card,Describe a review you read about a product or service.,"You should say:
- what you read the review about
- what information the review gave about the product or service
- and explain what you did as a result of reading this review",ielts_questions,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges. The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion. I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable.",B
3,Online reviews,What kinds of things do people write online reviews about in your country?,,ielts_questions,"Mostly everyday purchases—restaurants, delivery services, ride-sharing, electronics, and online shops. People also review hospitals and coaching centres, because word-of-mouth matters a lot and formal consumer protection can feel slow.",A
3,Online reviews,What kinds of things do people write online reviews about in your country?,,ielts_questions,"To be honest, mostly everyday purchases—restaurants, delivery services, ride-sharing, electronics, and online shops. People also review hospitals and coaching centres, mainly because word-of-mouth matters a lot and formal consumer protection can feel slow. In short, it’s something I genuinely enjoy.",B
3,Online reviews,What kinds of things do people write online reviews about in your country?,,ielts_questions,"Mostly everyday purchases—restaurants, delivery services, ride-sharing, electronics, and online shops. People also review hospitals and coaching centres, because word-of-mouth matters a lot and formal consumer protection can feel slow. So overall, it feels like a good fit for me.",C
3,Online reviews,Why do some people write online reviews?,,ielts_questions,"A big reason is **to warn others**—especially if they feel cheated. On the positive side, people write reviews to reward good service and to feel that their opinion has some impact, even if it’s small.",A
3,Online reviews,Why do some people write online reviews?,,ielts_questions,"To be honest, a big reason is **to warn others**—especially if they feel cheated. On the positive side, people write reviews to reward good service and to feel that their opinion has some impact, even if it’s small. So it’s become a small habit for me.",B
3,Online reviews,Why do some people write online reviews?,,ielts_questions,"A big reason is **to warn others**—especially if they feel cheated. On the positive side, people write reviews to reward good service and to feel that their opinion has some impact, even if it’s small. That’s why it stands out to me.",C
3,Online reviews,Do you think that online reviews are good for both shoppers and companies?,,ielts_questions,"Generally yes, because shoppers reduce risk and companies get feedback they can act on. The downside is manipulation—fake reviews and “review bombing”—so the benefit depends on whether platforms verify purchases and detect patterns.",A
3,Online reviews,Do you think that online reviews are good for both shoppers and companies?,,ielts_questions,"Actually, generally yes, because shoppers reduce risk and companies get feedback they can act on. The downside is manipulation—fake reviews and “review bombing”—so the benefit depends on whether platforms verify purchases and detect patterns. So overall, it feels like a good fit for me.",B
3,Online reviews,Do you think that online reviews are good for both shoppers and companies?,,ielts_questions,"It depends, but generally yes, mainly because shoppers reduce risk and companies get feedback they can act on. The downside is manipulation—fake reviews and “review bombing”—so the benefit depends on whether platforms verify purchases and detect patterns. So overall, it feels like a good fit for me.",C
3,Customer service,What do you think it might be like to work in a customer service job?,,ielts_questions,"I think it’s emotionally demanding, because you deal with people when they’re already frustrated. At the same time, it can be rewarding if the company empowers staff to solve problems instead of forcing them to read scripts.",A
3,Customer service,What do you think it might be like to work in a customer service job?,,ielts_questions,"Actually, i think it’s emotionally demanding, because you deal with people when they’re already frustrated. At the same time, it can be rewarding if the company empowers staff to solve problems instead of forcing them to read scripts. So it’s become a small habit for me.",B
3,Customer service,What do you think it might be like to work in a customer service job?,,ielts_questions,"I think it’s emotionally demanding, mainly because you deal with people when they’re already frustrated. At the same time, it can be rewarding if the company empowers staff to solve problems instead of forcing them to read scripts. So it’s become a small habit for me.",C
3,Customer service,Do you agree that customers are more likely to complain nowadays?,,ielts_questions,"Yes, because complaining is easier—one post can reach thousands. Expectations are also higher now: people compare service to the best experience they’ve ever had, not the average.",A
3,Customer service,Do you agree that customers are more likely to complain nowadays?,,ielts_questions,"Actually, yes, because complaining is easier—one post can reach thousands. Expectations are also higher now: people compare service to the best experience they’ve ever had, not the average. So it’s become a small habit for me.",B
3,Customer service,Do you agree that customers are more likely to complain nowadays?,,ielts_questions,"Generally speaking, yes, because complaining is easier—one post can reach thousands. Expectations are also higher now: people compare service to the best experience they’ve ever had, not the average. So overall, it feels like a good fit for me.",C
3,Customer service,How important is it for companies to take all customer complaints seriously?,,ielts_questions,"It’s essential. Even if the customer is wrong, the complaint can reveal a broken process—like unclear pricing, late delivery, or poor communication. Handling it well protects trust and prevents small issues from becoming public reputational damage.",A
3,Customer service,How important is it for companies to take all customer complaints seriously?,,ielts_questions,"Actually, it’s essential. Even if the customer is wrong, the complaint can reveal a broken process—like unclear pricing, late delivery, or poor communication. Handling it well protects trust and prevents small issues from becoming public reputational damage. In short, it’s something I genuinely enjoy.",B
3,Customer service,How important is it for companies to take all customer complaints seriously?,,ielts_questions,"Generally speaking, it is essential. Even if the customer is wrong, the complaint can reveal a broken process—like unclear pricing, late delivery, or poor communication. Handling it well protects trust and prevents small issues from becoming public reputational damage. In short, it’s something I genuinely enjoy.",C
1,Jewellery,How often do you wear jewellery?,,ielts_questions,"Not often—mostly on special occasions. Day-to-day I prefer to keep it simple, because it can feel distracting when I’m working.",A
1,Jewellery,How often do you wear jewellery?,,ielts_questions,"To be honest, not often—mostly on special occasions. Day-to-day I’d go for to keep it simple, because it can feel distracting when I’m working. So overall, it feels like a good fit for me.",B
1,Jewellery,How often do you wear jewellery?,,ielts_questions,"Not often—mostly on special occasions. Day-to-day I’d go for to keep it simple, because it can feel distracting when I’m working. In short, it’s something I genuinely enjoy.",C
1,Jewellery,What type of jewellery do you like best?,,ielts_questions,"I like **a watch** or something minimal like a ring. It’s practical, and it looks neat without being flashy.",A
1,Jewellery,What type of jewellery do you like best?,,ielts_questions,"To be honest, i like **a watch** or something minimal like a ring. It is practical, and it looks neat without being flashy. So overall, it feels like a good fit for me.",B
1,Jewellery,What type of jewellery do you like best?,,ielts_questions,"If I’m honest, i’m into **a watch** or something minimal like a ring. It’s practical, and it looks neat without being flashy. So it’s become a small habit for me.",C
1,Jewellery,When do people like to give jewellery in your country?,,ielts_questions,"Usually during weddings, engagements, or big family events. Jewellery is seen as both sentimental and valuable, so it’s a way of showing respect and long-term commitment.",A
1,Jewellery,When do people like to give jewellery in your country?,,ielts_questions,"Well, usually during weddings, engagements, or big family events. Jewellery is seen as both sentimental and valuable, so it’s a way of showing respect and long-term commitment. So it’s become a small habit for me.",B
1,Jewellery,When do people like to give jewellery in your country?,,ielts_questions,"Usually during weddings, engagements, or big family events. Jewellery is seen as both sentimental and valuable, so it’s a way of showing respect and long-term commitment. In short, it’s something I genuinely enjoy.",C
1,Jewellery,Have you ever given jewellery to someone as a gift?,,ielts_questions,"Yes, once—because it felt more meaningful than a generic present. It’s the kind of gift people keep for years, so it carries memories.",A
1,Jewellery,Have you ever given jewellery to someone as a gift?,,ielts_questions,"Well, yes, once—because it felt more meaningful than a generic present. It is the kind of gift people keep for years, so it carries memories. So overall, it feels like a good fit for me.",B
1,Jewellery,Have you ever given jewellery to someone as a gift?,,ielts_questions,"Generally speaking, yes, once—because it felt more meaningful than a generic present. It is the kind of gift people keep for years, so it carries memories. In short, it’s something I genuinely enjoy.",C
2,Cue card,Describe an interesting TV programme you watched about a science topic.,"You should say:
- what science topic this TV programme was about
- when you saw this TV programme
- what you learnt from this TV programme about a science topic
- and explain why you found this TV programme interesting",ielts_questions,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges.

The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion.

I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable.",A
2,Cue card,Describe an interesting TV programme you watched about a science topic.,"You should say:
- what science topic this TV programme was about
- when you saw this TV programme
- what you learnt from this TV programme about a science topic
- and explain why you found this TV programme interesting",ielts_questions,"A science programme I found genuinely interesting was a documentary episode about **the James Webb Space Telescope** and how it studies the early universe. I watched it a few months ago on a streaming platform after seeing short clips online, and it pulled me in because it connected big ideas to real engineering challenges. The programme explained, in a very clear way, why Webb can see things older telescopes couldn’t—mainly because it observes in infrared, and it’s positioned far from Earth to avoid heat interference. What I learned wasn’t just the “wow” factor of space images, but the process behind them: how scientists interpret light spectra to figure out what distant planets are made of, and how even tiny measurement errors can change a conclusion. I found it interesting because it balanced wonder with realism. It showed that scientific breakthroughs aren’t magic—they’re the result of patient experimentation, failure, and iteration. And honestly, it made me appreciate how science is a collaboration between imagination and discipline: you need bold questions, but you also need the engineering to make those questions testable.",B
3,Science and the public,How interested are most people in your country in science?,,ielts_questions,"I’d say curiosity is there, but it’s uneven. People engage with science when it affects daily life—health, technology, weather—but fewer people follow science as a habit unless they’re students or professionals.",A
3,Science and the public,How interested are most people in your country in science?,,ielts_questions,"Actually, i’d say curiosity is there, but it’s uneven. People engage with science when it affects daily life—health, technology, weather—but fewer people follow science as a habit unless they’re students or professionals. So it’s become a small habit for me.",B
3,Science and the public,How interested are most people in your country in science?,,ielts_questions,"Generally speaking, i’d say curiosity is there, but it’s uneven. People engage with science when it affects daily life—health, technology, weather—but fewer people follow science as a habit unless they’re students or professionals. In short, it’s something I genuinely enjoy.",C
3,Science and the public,Why do you think children today might be better at science than their parents?,,ielts_questions,"They have instant access to explanations, simulations, and experiments online, so learning is less dependent on one teacher or one textbook. Also, many kids grow up using technology, which makes scientific thinking feel more familiar.",A
3,Science and the public,Why do you think children today might be better at science than their parents?,,ielts_questions,"To be honest, they have instant access to explanations, simulations, and experiments online, so learning is less dependent on one teacher or one textbook. Also, many kids grow up using technology, which makes scientific thinking feel more familiar. That’s why it stands out to me.",B
3,Science and the public,Why do you think children today might be better at science than their parents?,,ielts_questions,"Generally speaking, they have instant access to explanations, simulations, and experiments online, so learning is less dependent on one teacher or one textbook. Also, many kids grow up using technology, which makes scientific thinking feel more familiar. In short, it’s something I genuinely enjoy.",C
3,Science and the public,How do you suggest the public can learn more about scientific developments?,,ielts_questions,"Good science communication helps—short, accurate content in local languages, and public talks that avoid jargon. Schools can also teach “how to think” rather than “what to memorise,” so people learn to evaluate claims and spot misinformation.",A
3,Science and the public,How do you suggest the public can learn more about scientific developments?,,ielts_questions,"To be honest, good science communication helps—short, accurate content in local languages, and public talks that avoid jargon. Schools can also teach “how to think” rather than “what to memorise,” so people learn to evaluate claims and spot misinformation. So overall, it feels like a good fit for me.",B
3,Science and the public,How do you suggest the public can learn more about scientific developments?,,ielts_questions,"Generally speaking, good science communication helps—short, accurate content in local languages, and public talks that avoid jargon. Schools can also teach “how to think” rather than “what to memorise,” so people learn to evaluate claims and spot misinformation. So overall, it feels like a good fit for me.",C
3,Scientific discoveries,What do you think are the most important scientific discoveries in the last 100 years?,,ielts_questions,"I’d put **antibiotics and modern vaccines** near the top because they transformed survival rates. Then the **transistor and computing**—they reshaped everything from communication to medicine. I’d also include **medical imaging** like MRI and CT, because they changed diagnosis without invasive procedures.",A
3,Scientific discoveries,What do you think are the most important scientific discoveries in the last 100 years?,,ielts_questions,"Well, i’d put **antibiotics and modern vaccines** near the top because they transformed survival rates. Then the **transistor and computing**—they reshaped everything from communication to medicine. I’d also include **medical imaging** like MRI and CT, because they changed diagnosis without invasive procedures. In short, it’s something I genuinely enjoy.",B
3,Scientific discoveries,What do you think are the most important scientific discoveries in the last 100 years?,,ielts_questions,"If I’m honest, i’d put **antibiotics and modern vaccines** near the top because they transformed survival rates. Then the **transistor and computing**—they reshaped everything from communication to medicine. I’d also include **medical imaging** like MRI and CT, because they changed diagnosis without invasive procedures. So overall, it feels like a good fit for me.",C
3,Scientific discoveries,Do you agree or disagree that there are no more major scientific discoveries left to make?,,ielts_questions,"I strongly disagree. It’s easy to think the “big discoveries” are over, but new tools create new possibilities—AI, gene editing, and materials science could unlock breakthroughs we can’t fully predict yet.",A
3,Scientific discoveries,Do you agree or disagree that there are no more major scientific discoveries left to make?,,ielts_questions,"Well, i strongly disagree. It is easy to think the “big discoveries” are over, but new tools create new possibilities—AI, gene editing, and materials science could unlock breakthroughs we can’t fully predict yet. That’s why it stands out to me.",B
3,Scientific discoveries,Do you agree or disagree that there are no more major scientific discoveries left to make?,,ielts_questions,"I strongly disagree. It’s easy to think the “big discoveries” are over, but new tools create new possibilities—AI, gene editing, and materials science could unlock breakthroughs we can’t fully predict yet. So it’s become a small habit for me.",C
3,Scientific discoveries,Who should pay for scientific research — governments or private companies?,,ielts_questions,"Ideally both, with different roles. Governments should fund foundational research because it’s a public good and may take decades to pay off, while private companies can fund applied research that turns discoveries into products. The key is transparency and ethics, so commercial incentives don’t distort the science.",A
3,Scientific discoveries,Who should pay for scientific research — governments or private companies?,,ielts_questions,"To be honest, ideally both, with different roles. Governments should fund foundational research mainly because it’s a public good and may take decades to pay off, while private companies can fund applied research that turns discoveries into products. The key is transparency and ethics, so commercial incentives don’t distort the science. So it’s become a small habit for me.",B
3,Scientific discoveries,Who should pay for scientific research — governments or private companies?,,ielts_questions,"It depends, but ideally both, with different roles. Governments should fund foundational research because it’s a public good and may take decades to pay off, while private companies can fund applied research that turns discoveries into products. The key is transparency and ethics, so commercial incentives don’t distort the science. So it’s become a small habit for me.",C
1,Work / Study,Do you work or are you a student?,,question_bank,"I’m working full-time. I enjoy it because it’s problem-solving in a real context—when you improve a process, you can see the impact immediately.",A
1,Work / Study,Do you work or are you a student?,,question_bank,"I’m working full-time. I enjoy it mainly because it’s problem-solving in a real context—when you improve a process, you can see the impact immediately. So overall, it feels like a good fit for me.",B
1,Work / Study,Do you work or are you a student?,,question_bank,"Generally speaking, i’m working full-time. I enjoy it because it’s problem-solving in a real context—when you improve a process, you can see the impact immediately. In short, it’s something I genuinely enjoy.",C
1,Work / Study,What do you like most about your work/studies?,,question_bank,"Yes, I do. Work / Study is something I enjoy because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset.",A
1,Work / Study,What do you like most about your work/studies?,,question_bank,"To be honest, yes, I do. Work / Study is something I really like mainly because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset. That’s why it stands out to me.",B
1,Work / Study,What do you like most about your work/studies?,,question_bank,"Generally speaking, yes, I do. Work / Study is something I enjoy because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset. So it’s become a small habit for me.",C
1,Work / Study,What is the most challenging part of your work/studies?,,question_bank,"I’d say yes, to some extent. With work / study, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine.",A
1,Work / Study,What is the most challenging part of your work/studies?,,question_bank,"Well, i’d say yes, to some extent. With work / study, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. That’s why it stands out to me.",B
1,Work / Study,What is the most challenging part of your work/studies?,,question_bank,"If I’m honest, i’d say yes, to some extent. With work / study, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So overall, it feels like a good fit for me.",C
1,Work / Study,"If you could change one thing about your work/studies, what would it be?",,question_bank,"I’d say yes, to some extent. With work / study, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine.",A
1,Work / Study,"If you could change one thing about your work/studies, what would it be?",,question_bank,"Well, i’d say yes, to some extent. With work / study, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. That’s why it stands out to me.",B
1,Work / Study,"If you could change one thing about your work/studies, what would it be?",,question_bank,"If I’m honest, i’d say yes, to some extent. With work / study, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So overall, it feels like a good fit for me.",C
1,Home / Hometown,Where are you from?,,question_bank,"I’m from Dhaka, specifically the Cantonment area. It’s relatively calm compared to the city centre, with more open space and less noise, so it’s a pleasant place to come back to after a busy day.",A
1,Home / Hometown,Where are you from?,,question_bank,"Actually, i’m from Dhaka, specifically the Cantonment area. It is relatively calm compared to the city centre, with more open space and less noise, so it’s a pleasant place to come back to after a busy day. In short, it’s something I genuinely enjoy.",B
1,Home / Hometown,Where are you from?,,question_bank,"I’m from Dhaka, specifically the Cantonment area. It’s relatively calm compared to the city centre, with more open space and less noise, so it’s a pleasant place to come back to after a busy day. So overall, it feels like a good fit for me.",C
1,Home / Hometown,What do you like about your home area?,,question_bank,"Yes, I do. Home / Hometown is something I enjoy because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset.",A
1,Home / Hometown,What do you like about your home area?,,question_bank,"Well, yes, I do. Home / Hometown is something I really like mainly because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset. So it’s become a small habit for me.",B
1,Home / Hometown,What do you like about your home area?,,question_bank,"It depends, but yes, I do. Home / Hometown is something I really like because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset. That’s why it stands out to me.",C
1,Home / Hometown,How has your hometown changed in recent years?,,question_bank,"Yes, a little. As I’ve got busier, I’ve become more selective and I focus more on what’s practical and sustainable long term.",A
1,Home / Hometown,How has your hometown changed in recent years?,,question_bank,"To be honest, yes, a little. As I have got busier, I have become more selective and I focus more on what’s practical and sustainable long term. That’s why it stands out to me.",B
1,Home / Hometown,How has your hometown changed in recent years?,,question_bank,"Generally speaking, yes, a little. As I’ve got busier, I’ve become more selective and I focus more on what’s practical and sustainable long term. So overall, it feels like a good fit for me.",C
1,Home / Hometown,Would you recommend your hometown to visitors? Why/why not?,,question_bank,"Mainly because it’s convenient and it fits my routine. Also, it gives me a small sense of control and comfort in a busy day.",A
1,Home / Hometown,Would you recommend your hometown to visitors? Why/why not?,,question_bank,"Well, mainly because it’s convenient and it fits my routine. Also, it gives me a small sense of control and comfort in a busy day. In short, it’s something I genuinely enjoy.",B
1,Home / Hometown,Would you recommend your hometown to visitors? Why/why not?,,question_bank,"It depends, but mainly because it’s convenient and it fits my routine. Also, it gives me a small sense of control and comfort in a busy day. So overall, it feels like a good fit for me.",C
1,Accommodation,What kind of place do you live in?,,question_bank,"I usually like the simple, practical kind. I prefer things that are comfortable and useful rather than overly flashy.",A
1,Accommodation,What kind of place do you live in?,,question_bank,"Actually, i tend to like the simple, practical kind. I’d go for things that are comfortable and useful rather than overly flashy. In short, it’s something I genuinely enjoy.",B
1,Accommodation,What kind of place do you live in?,,question_bank,"Generally speaking, i usually like the simple, practical kind. I prefer things that are comfortable and useful rather than overly flashy. That’s why it stands out to me.",C
1,Accommodation,How long have you lived there?,,question_bank,"I’d say yes, to some extent. With accommodation, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine.",A
1,Accommodation,How long have you lived there?,,question_bank,"Well, i’d say yes, to some extent. With accommodation, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So it’s become a small habit for me.",B
1,Accommodation,How long have you lived there?,,question_bank,"Generally speaking, i’d say yes, to some extent. With accommodation, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. In short, it’s something I genuinely enjoy.",C
1,Accommodation,What do you like about your accommodation?,,question_bank,"Yes, I do. Accommodation is something I enjoy because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset.",A
1,Accommodation,What do you like about your accommodation?,,question_bank,"Actually, yes, I do. Accommodation is something I genuinely like because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset. In short, it’s something I genuinely enjoy.",B
1,Accommodation,What do you like about your accommodation?,,question_bank,"If I’m honest, yes, I do. Accommodation is something I enjoy mainly because it adds a bit of variety to daily life, and it’s also an easy way to relax and reset. In short, it’s something I genuinely enjoy.",C
1,Accommodation,What kind of place would you like to live in in the future?,,question_bank,"I usually like the simple, practical kind. I prefer things that are comfortable and useful rather than overly flashy.",A
1,Accommodation,What kind of place would you like to live in in the future?,,question_bank,"Actually, i tend to like the simple, practical kind. I’d go for things that are comfortable and useful rather than overly flashy. In short, it’s something I genuinely enjoy.",B
1,Accommodation,What kind of place would you like to live in in the future?,,question_bank,"Generally speaking, i usually like the simple, practical kind. I prefer things that are comfortable and useful rather than overly flashy. That’s why it stands out to me.",C
1,Daily routine,What is a typical weekday like for you?,,question_bank,"I’d say yes, to some extent. With daily routine, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine.",A
1,Daily routine,What is a typical weekday like for you?,,question_bank,"I’d say yes, to some extent. With daily routine, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. In short, it’s something I genuinely enjoy.",B
1,Daily routine,What is a typical weekday like for you?,,question_bank,"Generally speaking, i’d say yes, to some extent. With daily routine, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So it’s become a small habit for me.",C
1,Daily routine,Which part of the day do you feel most productive?,,question_bank,"I’d say yes, to some extent. With daily routine, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine.",A
1,Daily routine,Which part of the day do you feel most productive?,,question_bank,"I’d say yes, to some extent. With daily routine, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. In short, it’s something I genuinely enjoy.",B
1,Daily routine,Which part of the day do you feel most productive?,,question_bank,"Generally speaking, i’d say yes, to some extent. With daily routine, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So it’s become a small habit for me.",C
1,Daily routine,Do you prefer mornings or evenings? Why?,,question_bank,"It depends, but I usually choose the option that feels more practical day to day. If I have time, I’ll go for the more enjoyable choice; if I’m busy, I’ll pick the more efficient one.",A
1,Daily routine,Do you prefer mornings or evenings? Why?,,question_bank,"It depends, but I usually choose the option that feels more practical day to day. If I have time, I’ll go for the more enjoyable choice; if I’m busy, I’ll pick the more efficient one. In short, it’s something I genuinely enjoy.",B
1,Daily routine,Do you prefer mornings or evenings? Why?,,question_bank,"It depends, but I usually choose the option that feels more practical day to day. If I have time, I’ll go for the more enjoyable choice; if I am busy, I’ll pick the more efficient one. So overall, it feels like a good fit for me.",C
1,Daily routine,Has your routine changed in the last few years?,,question_bank,"Yes, a little. As I’ve got busier, I’ve become more selective and I focus more on what’s practical and sustainable long term.",A
1,Daily routine,Has your routine changed in the last few years?,,question_bank,"To be honest, yes, a little. As I have got busier, I have become more selective and I focus more on what’s practical and sustainable long term. That’s why it stands out to me.",B
1,Daily routine,Has your routine changed in the last few years?,,question_bank,"Generally speaking, yes, a little. As I’ve got busier, I’ve become more selective and I focus more on what’s practical and sustainable long term. So overall, it feels like a good fit for me.",C
1,Free time,Do you have much free time these days?,,question_bank,"I’d say yes, to some extent. With free time, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine.",A
1,Free time,Do you have much free time these days?,,question_bank,"Well, i’d say yes, to some extent. With free time, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So overall, it feels like a good fit for me.",B
1,Free time,Do you have much free time these days?,,question_bank,"I’d say yes, to some extent. With free time, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So overall, it feels like a good fit for me.",C
1,Free time,How do you usually spend your free time?,,question_bank,"I’d say yes, to some extent. With free time, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine.",A
1,Free time,How do you usually spend your free time?,,question_bank,"Well, i’d say yes, to some extent. With free time, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So overall, it feels like a good fit for me.",B
1,Free time,How do you usually spend your free time?,,question_bank,"I’d say yes, to some extent. With free time, I try to keep it balanced—enough to enjoy it, but not so much that it takes over my routine. So overall, it feels like a good fit for me.",C
1,Free time,Do you prefer spending free time alone or with others? Why?,,question_bank,"It depends, but I usually choose the option that feels more practical day to day. If I have time, I’ll go for the more enjoyable choice; if I’m busy, I’ll pick the more efficient one.",A
1,Free time,Do you prefer spending free time alone or with others? Why?,,question_bank,"It depends, but I usually choose the option that feels more practical day to day. If I have time, I’ll go for the more enjoyable choice; if I’m busy, I’ll pick the more efficient one. In short, it’s something I genuinely enjoy.",B
1,Free time,Do you prefer spending free time alone or with others? Why?,,question_bank,"It depends, but I usually choose the option that feels more practical day to day. If I have time, I’ll go for the more enjoyable choice; if I am busy, I’ll pick the more efficient one. So overall, it feels like a good fit for me.",C
